,Cad MLP-2L Mean,Cad TRANSFORMER-2L Mean,Cad CNN-2L Mean,MLP-2L Mean,TRANSFORMER-2L Mean,CNN-2L Mean,Cad MLP-2L Var,Cad MLP-3L Var,Cad TRANSFORMER-2L Var,Cad CNN-2L Var,MLP-2L Var,MLP-3L Var,TRANSFORMER-2L Var,CNN-2L Var,CNN-2L (6k),NT-1,LoRA r=8,LoRA r=16,LoRA r=32,LR=1e-5,LR=3e-5,LR=5e-5,Full FT
Best Val AUC,0.45918,0.560211,0.670923,0.751,0.775,0.778,0.596876,0.599565,0.700477,0.753605,0.869,0.869,0.869,0.871,0.8638,0.7322,0.8345,0.8376,0.8453,0.8793,0.8861,0.8856,0.788
Model Type,Cad,Cad,Cad,NT-2,NT-2,NT-2,Cad,Cad,Cad,Cad,NT-2,NT-2,NT-2,NT-2,NT-2,NT-1,NT-2,NT-2,NT-2,NT-2,NT-2,NT-2,NT-2
Classifier,MLP,TRANSFORMER,CNN,MLP,TRANSFORMER,CNN,MLP,MLP,TRANSFORMER,CNN,MLP,MLP,TRANSFORMER,CNN,CNN,CNN,CNN,CNN,CNN,CNN,CNN,CNN,CNN
Layers,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
Embedding,Mean,Mean,Mean,Mean,Mean,Mean,Var,Var,Var,Var,Var,Var,Var,Var,Var,Var,Var,Var,Var,Var,Var,Var,Var
Fine-tuning,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,Frozen,LoRA,LoRA,LoRA,LoRA,LoRA,LoRA,Full
LoRA Rank,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,16,32,32,32,32,-
Learning Rate,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,3e-5,1e-5,3e-5,5e-5,3e-5
Samples,44k,44k,44k,44k,44k,44k,44k,44k,44k,44k,44k,44k,44k,44k,44k,44k,5k,5k,5k,44k,44k,44k,44k
Input Length,30k,30k,30k,12k,12k,12k,30k,30k,30k,30k,12k,12k,12k,12k,6k,6k,12k,12k,12k,12k,12k,12k,12k
